Level,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Life (Normal),231,261,291,321,351,381,412,442,472,502,532,562,592,623,653,683,713,743,773,804,834,864,894,924,954,984,1015,1045,1075,1105,1135,1165,1196,1226,1256,1286,1316,1346,1376,1407,1437,1467,1497,1527,1557,1587,1618,1648,1678,1708,1738,1768,1798,1829,1859,1889,1919,1949,1979,2010
Life (Nightmare),446,504,562,620,679,737,795,853,911,970,1028,1086,1144,1202,1261,1319,1377,1435,1493,1552,1610,1668,1726,1784,1843,1901,1959,2017,2075,2134,2192,2250,2308,2366,2425,2483,2541,2599,2657,2716,2774,2832,2890,2948,3007,3065,3123,3181,3239,3298,3356,3414,3472,3530,3589,3647,3705,3763,3821,3880
Life (Hell),732,828,923,1019,1114,1210,1305,1401,1496,1592,1687,1783,1878,1974,2069,2165,2260,2356,2452,2548,2643,2739,2834,2930,3025,3121,3216,3312,3407,3503,3598,3694,3789,3885,3980,4076,4171,4267,4363,4459,4554,4650,4745,4841,4936,5032,5127,5223,5318,5414,5509,5605,5700,5796,5891,5987,6082,6178,6274,6370
Life on Hit,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
"Damage (min, Normal)",27,47,67,87,108,128,148,168,189,209,229,249,270,290,310,330,351,371,391,411,432,452,472,492,513,533,553,573,594,614,634,654,675,695,715,735,756,776,796,816,837,857,877,897,918,938,958,978,999,1019,1039,1059,1080,1100,1120,1140,1161,1181,1201,1221
"Damage (max, Normal)",48,84,120,156,192,228,264,300,336,372,408,444,480,516,552,588,624,660,696,732,768,804,840,876,912,948,984,1020,1056,1092,1128,1164,1200,1236,1272,1308,1344,1380,1416,1452,1488,1524,1560,1596,1632,1668,1704,1740,1776,1812,1848,1884,1920,1956,1992,2028,2064,2100,2136,2172
"Damage (min, Nightmare)",27,47,67,87,108,128,148,168,189,209,229,249,270,290,310,330,351,371,391,411,432,452,472,492,513,533,553,573,594,614,634,654,675,695,715,735,756,776,796,816,837,857,877,897,918,938,958,978,999,1019,1039,1059,1080,1100,1120,1140,1161,1181,1201,1221
"Damage (max, Nightmare)",96,168,240,312,384,456,528,600,672,744,816,888,960,1032,1104,1176,1248,1320,1392,1464,1536,1608,1680,1752,1824,1896,1968,2040,2112,2184,2256,2328,2400,2472,2544,2616,2688,2760,2832,2904,2976,3048,3120,3192,3264,3336,3408,3480,3552,3624,3696,3768,3840,3912,3984,4056,4128,4200,4272,4344
"Damage (min, Hell)",60,105,150,195,240,285,330,375,420,465,510,555,600,645,690,735,780,825,870,915,960,1005,1050,1095,1140,1185,1230,1275,1320,1365,1410,1455,1500,1545,1590,1635,1680,1725,1770,1815,1860,1905,1950,1995,2040,2085,2130,2175,2220,2265,2310,2355,2400,2445,2490,2535,2580,2625,2670,2715
"Damage (max, Hell)",188,329,470,611,752,893,1034,1175,1316,1457,1598,1739,1880,2021,2162,2303,2444,2585,2726,2867,3008,3149,3290,3431,3572,3713,3854,3995,4136,4277,4418,4559,4700,4841,4982,5123,5264,5405,5546,5687,5828,5969,6110,6251,6392,6533,6674,6815,6956,7097,7238,7379,7520,7661,7802,7943,8084,8225,8366,8507
Mana Cost,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,35.5,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41,41.5,42
