Level,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Chance to Chain %,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Attack Rating +%,120,138,156,174,192,210,228,246,264,282,300,318,336,354,372,390,408,426,444,462,480,498,516,534,552,570,588,606,624,642,660,678,696,714,732,750,768,786,804,822,840,858,876,894,912,930,948,966,984,1002,1020,1038,1056,1074,1092,1110,1128,1146,1164,1182
Elemental Damage +%,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123
Fire Damage (min),12,16,20,24,28,32,36,40,46,52,58,64,70,76,82,88,98,108,118,128,138,148,160,172,184,196,208,220,234,248,262,276,290,304,318,332,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668
Fire Damage (max),16,22,28,34,40,46,52,58,66,74,82,90,98,106,114,122,134,146,158,170,182,194,208,222,236,250,264,278,294,310,326,342,358,374,390,406,422,438,454,470,486,502,518,534,550,566,582,598,614,630,646,662,678,694,710,726,742,758,774,790
Cold Damage (min),12,16,20,24,28,32,36,40,46,52,58,64,70,76,82,88,98,108,118,128,138,148,160,172,184,196,208,220,234,248,262,276,290,304,318,332,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668
Cold Damage (max),16,22,28,34,40,46,52,58,66,74,82,90,98,106,114,122,134,146,158,170,182,194,208,222,236,250,264,278,294,310,326,342,358,374,390,406,422,438,454,470,486,502,518,534,550,566,582,598,614,630,646,662,678,694,710,726,742,758,774,790
Lightning Damage (min),12,16,20,24,28,32,36,40,46,52,58,64,70,76,82,88,98,108,118,128,138,148,160,172,184,196,208,220,234,248,262,276,290,304,318,332,346,360,374,388,402,416,430,444,458,472,486,500,514,528,542,556,570,584,598,612,626,640,654,668
Lightning Damage (max),16,22,28,34,40,46,52,58,66,74,82,90,98,106,114,122,134,146,158,170,182,194,208,222,236,250,264,278,294,310,326,342,358,374,390,406,422,438,454,470,486,502,518,534,550,566,582,598,614,630,646,662,678,694,710,726,742,758,774,790
Mana Cost,2,2.1,2.2,2.3,2.5,2.6,2.7,2.8,3,3.1,3.2,3.3,3.5,3.6,3.7,3.8,4,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5,5.1,5.2,5.3,5.5,5.6,5.7,5.8,6,6.1,6.2,6.3,6.5,6.6,6.7,6.8,7,7.1,7.2,7.3,7.5,7.6,7.7,7.8,8,8.1,8.2,8.3,8.5,8.6,8.7,8.8,9,9.1,9.2,9.3
